Instance,Dim,k,Time,Collisions,Expansions,Cost
1,25x25,10,12.0000,0,6941,22
2,25x25,10,10.0000,0,5640,17
3,25x25,10,11.0000,0,2517,20
4,25x25,10,11.0000,1,13268,19
5,25x25,10,10.0000,1,7427,19
6,25x25,10,12.0000,2,24496,20
7,25x25,10,12.0000,2,24314,23
8,25x25,10,11.0000,2,10475,17
9,25x25,10,12.0000,0,5408,16
10,25x25,10,10.0000,2,14642,20
11,25x25,10,11.0000,1,13331,21
12,25x25,10,10.0000,0,3652,19
13,25x25,10,11.0000,0,5387,22
14,25x25,10,10.0000,2,20104,19
15,25x25,10,9.0000,1,10109,19
16,25x25,10,9.0000,2,13327,23
17,25x25,10,12.0000,0,4191,16
18,25x25,10,11.0000,0,5076,24
19,25x25,10,9.0000,0,3479,21
20,25x25,10,11.0000,0,4180,22
21,25x25,10,10.0000,0,4985,21
22,25x25,10,12.0000,0,4727,20
23,25x25,10,12.0000,0,7106,23
24,25x25,10,12.0000,1,8975,18
25,25x25,10,10.0000,1,5059,21
26,25x25,10,13.0000,0,8423,23
27,25x25,10,12.0000,1,14704,23
28,25x25,10,10.0000,0,3053,16
29,25x25,10,10.0000,2,15107,23
30,25x25,10,10.0000,1,9729,18
31,25x25,10,10.0000,0,4769,23
32,25x25,10,11.0000,2,14250,24
33,25x25,10,11.0000,1,12954,22
34,25x25,10,11.0000,0,4044,17
35,25x25,10,12.0000,2,14622,23
36,25x25,10,11.0000,0,3315,16
37,25x25,10,10.0000,0,3875,17
38,25x25,10,12.0000,4,35745,18

Instance,Dim,k,Time,Collisions,Expansions,Cost
1,25x25,10,12.000,0,6941,22
2,25x25,10,9.000,0,5640,17
3,25x25,10,11.000,0,2517,20
4,25x25,10,11.000,0,5408,16
5,25x25,10,11.000,0,3652,19
6,25x25,10,10.000,0,5387,22
7,25x25,10,10.000,1,15973,19
8,25x25,10,12.000,0,4191,16
9,25x25,10,11.000,0,5076,24
10,25x25,10,9.000,0,3479,21
11,25x25,10,10.000,0,4180,22
12,25x25,10,10.000,0,4985,21
13,25x25,10,12.000,0,4727,20
14,25x25,10,10.000,0,7106,23
15,25x25,10,11.000,1,8975,18
16,25x25,10,11.000,0,8423,23
17,25x25,10,10.000,0,3053,16
18,25x25,10,10.000,0,4769,23
19,25x25,10,11.000,0,4044,17
20,25x25,10,11.000,0,3315,16
21,25x25,10,11.000,0,3875,17

Instance,Dim,k,Time,Collisions,Expansions,Cost
1,20x20,7,3.0000,0,2756,14
2,20x20,7,3.0000,2,7652,18
3,20x20,7,2.0000,0,1888,17
4,20x20,7,3.0000,0,1144,16
5,20x20,7,2.0000,0,1787,19
6,20x20,7,3.0000,0,1155,14
7,20x20,7,3.0000,0,1997,13
